Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8450729,HIV_0000000008,COUNTRY,MLI,AFR,YEAR,Africa,,,2014,,,,,,,5,5.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8822218,HIV_0000000008,COUNTRY,ECU,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
6510552,HIV_0000000008,COUNTRY,HND,AMR,YEAR,Americas,,,2014,,,,,,,11,11.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2276517,HIV_0000000008,COUNTRY,MDV,SEAR,YEAR,South-East Asia,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2751498,HIV_0000000008,COUNTRY,VUT,WPR,YEAR,Western Pacific,,,2014,,,,,,,10,10.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9538148,HIV_0000000008,COUNTRY,CPV,AFR,YEAR,Africa,,,2014,,,,,,,16,16.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7635846,HIV_0000000008,COUNTRY,DOM,AMR,YEAR,Americas,,,2014,,,,,,,8,8.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
3908966,HIV_0000000008,COUNTRY,GNB,AFR,YEAR,Africa,,,2014,,,,,,,11,11.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2408145,HIV_0000000008,COUNTRY,GTM,AMR,YEAR,Americas,,,2014,,,,,,,4,4.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
217550,HIV_0000000008,COUNTRY,MHL,WPR,YEAR,Western Pacific,,,2014,,,,,,,16,16.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4524972,HIV_0000000008,COUNTRY,PER,AMR,YEAR,Americas,,,2014,,,,,,,36,36.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7901596,HIV_0000000008,COUNTRY,BEN,AFR,YEAR,Africa,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7888339,HIV_0000000008,COUNTRY,CRI,AMR,YEAR,Americas,,,2014,,,,,,,3,3.0,,,,2016-03-21T10:38:53+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8935327,HIV_0000000008,COUNTRY,BDI,AFR,YEAR,Africa,,,2014,,,,,,,14,14.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2368475,HIV_0000000008,COUNTRY,BIH,EUR,YEAR,Europe,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1998277,HIV_0000000008,COUNTRY,CUB,AMR,YEAR,Americas,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
8325527,HIV_0000000008,COUNTRY,IDN,SEAR,YEAR,South-East Asia,,,2014,,,,,,,1,1.0,,,,2016-03-21T10:38:51+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
7994492,HIV_0000000008,COUNTRY,SRB,EUR,YEAR,Europe,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
4769585,HIV_0000000008,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2014,,,,,,,2,2.0,,,,2016-03-21T10:38:52+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
1826852,HIV_0000000008,COUNTRY,STP,AFR,YEAR,Africa,,,2014,,,,,,,42,42.0,,,,2016-03-21T10:38:57+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
5643717,HIV_0000000008,COUNTRY,GAB,AFR,YEAR,Africa,,,2014,,,,,,,No data,,,,,2016-03-21T10:38:58+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
582408,HIV_0000000008,COUNTRY,DMA,AMR,YEAR,Americas,,,2014,,,,,,,24,24.0,,,,2016-03-21T10:38:56+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
761149,HIV_0000000008,COUNTRY,CHL,AMR,YEAR,Americas,,,2014,,,,,,,8,8.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
436804,HIV_0000000008,COUNTRY,MUS,AFR,YEAR,Africa,,,2014,,,,,,,15,15.0,,,,2016-03-21T10:38:55+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
9261123,HIV_0000000008,COUNTRY,YEM,EMR,YEAR,Eastern Mediterranean,,,2014,,,,,,,<1,,,,,2016-03-21T10:38:59+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
741381,HIV_0000000008,COUNTRY,SLB,WPR,YEAR,Western Pacific,,,2014,,,,,,,5,5.0,,,,2016-03-21T10:38:54+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
